AED;3,672954;
AFN;69,06;
ALL;121,7171;
AMD;476,27;
ANG;1,788725;
AOA;165,7792;
ARS;13,95324;
AUD;1,332188;
AWG;1,793333;
AZN;1,531525;
BAM;1,728736;
BBD;2;
BDT;78,43423;
BGN;1,730575;
BHD;0,377126;
BIF;1680,328;
BMD;1;
BND;1,340263;
BOB;6,888514;
BRL;3,390732;
BSD;1;
BTC;0,001506115;
BTN;67,50266;
BWP;10,78326;
BYR;19762,22;
BZD;2,010289;
CAD;1,278164;
CDF;957,7933;
CHF;0,957929;
CLF;0,024602;
CLP;676,1894;
CNY;6,576401;
COP;2972,19;
CRC;543,7621;
CUC;1;
CUP;24,72838;
CVE;97,57871;
CZK;23,93986;
DJF;177,7554;
DKK;6,57777;
DOP;45,91664;
DZD;109,7427;
EEK;13,83775;
EGP;8,876978;
ERN;14,9985;
ETB;21,78172;
EUR;0,884198;
FJD;2,068767;
FKP;0,679528;
GBP;0,679528;
GEL;2,22628;
GGP;0,679528;
GHS;3,928589;
GIP;0,679528;
GMD;42,83384;
GNF;7350,715;
GTQ;7,632184;
GYD;206,4493;
HKD;7,757837;
HNL;22,74111;
HRK;6,647761;
HTG;62,74947;
HUF;277,7949;
IDR;13273,8;
ILS;3,854398;
IMP;0,679528;
INR;67,47778;
IQD;1166,967;
IRR;30342,5;
ISK;122,3621;
JEP;0,679528;
JMD;125,6146;
JOD;0,708524;
JPY;104,537;
KES;101,2355;
KGS;67,6;
KHR;4085,09;
KMF;432,7761;
KPW;899,91;
KRW;1153,165;
KWD;0,301234;
KYD;0,824635;
KZT;336,547;
LAK;8108,5;
LBP;1510,192;
LKR;146,8058;
LRD;90,49095;
LSL;14,68625;
LTL;3,027509;
LVL;0,621219;
LYD;1,362791;
MAD;9,679713;
MDL;19,71756;
MGA;3271,643;
MKD;54,45969;
MMK;1191,925;
MNT;1944,5;
MOP;7,99144;
MRO;356,5367;
MTL;0,683602;
MUR;35,28558;
MVR;15,22667;
MWK;706,1411;
MXN;18,57894;
MYR;4,028213;
MZN;62,1;
NAD;14,68625;
NGN;204,4731;
NIO;28,55083;
NOK;8,273631;
NPR;107,9262;
NZD;1,393751;
OMR;0,385078;
PAB;1;
PEN;3,2884;
PGK;3,13105;
PHP;46,44937;
PKR;104,7157;
PLN;3,877014;
PYG;5621,027;
QAR;3,640667;
RON;4,004364;
RSD;109,3712;
RUB;64,18476;
RWF;785,061;
SAR;3,75027;
SBD;7,805062;
SCR;13,39044;
SDG;6,085191;
SEK;8,252207;
SGD;1,339244;
SHP;0,679528;
SLL;3945;
SOS;581,0436;
SRD;7,0125;
STD;21680,78;
SVC;8,745301;
SYP;218,9157;
SZL;14,69115;
THB;35,18956;
TJS;7,8685;
TMT;3,501367;
TND;2,156552;
TOP;2,233822;
TRY;2,899668;
TTD;6,648129;
TWD;32,15876;
TZS;2193,385;
UAH;24,89271;
UGX;3366,743;
USD;1;
UYU;30,62679;
UZS;2945,355;
VEF;9,971795;
VND;22319,63;
VUV;109,0483;
WST;2,518621;
XAF;581,244;
XAG;0,0578385;
XAU;0,0007895;
XCD;2,70302;
XDR;0,705167;
XOF;581,9379;
XPD;0,001805;
XPF;105,518;
XPT;0,001019;
YER;249,266;
ZAR;14,68678;
ZMK;5253,075;
ZMW;10,94026;
ZWL;322,3228;
